DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5
4,LAKE MACQUARIE,371355,NORMAL,800-900,PACIFIC HWY,MOONEE,2259,"1, 2/549905 PT 465/755266 Special Purpose Lease 58/54",SP1,40.55,H,1/7/2017,1670000,14A(1),6A(2),1/7/2016,1590000,14A(1),6A(2),1/7/2015,1590000,14A(1),6A(2),1/7/2014,1590000,14A(1),6A(2),1/7/2013,1590000,14A(1),6A(2)
4,LAKE MACQUARIE,371409,NORMAL,555,PACIFIC HWY,CRANGAN BAY,2259,492/755266,E2,2061,M,1/7/2017,144000,14A(1),6A(1),1/7/2016,131000,14A(1),6A(1),1/7/2015,130000,14A(1),6A(1),1/7/2014,125000,60A(1)(a),6A(1),1/7/2013,275000,60A(1)(a),6A(2)
4,LAKE MACQUARIE,3017015,NORMAL,29,GOVERNMENT RD,NORDS WHARF,,1/1057036,R2,861,M,1/7/2017,293000,14A(1),6A(1),1/7/2016,253000,14A(1),6A(1),1/7/2015,244000,14A(1),6A(1),1/7/2014,222000,14A(1),6A(1),1/7/2013,210000,14A(1),6A(1)
4,LAKE MACQUARIE,3017016,NORMAL,29A,GOVERNMENT RD,NORDS WHARF,2281,2/1057036,R2,1278,M,1/7/2017,316000,14A(1),6A(1),1/7/2016,273000,14A(1),6A(1),1/7/2015,263000,14A(1),6A(1),1/7/2014,239000,14A(1),6A(1),1/7/2013,227000,14A(1),6A(1)
4,LAKE MACQUARIE,2834840,NORMAL,7,GLEN GORY AVE,BUTTABA,2283,4/11287 Licence 396876,R2,810.7,M,1/7/2017,710000,14A(1),14I,1/7/2016,591000,14A(1),14I,1/7/2015,642000,14A(1),14I,1/7/2014,558000,14A(1),14I,1/7/2013,513000,14A(1),14I
4,LAKE MACQUARIE,2834842,NORMAL,172,KILABEN RD,KILABEN BAY,2283,11/1102117 Licence 318974,R2,2233.5,M,1/7/2017,828000,14A(1),14I,1/7/2016,777000,14A(1),14I,1/7/2015,777000,14A(1),14I,1/7/2014,827000,14A(1),14I,1/7/2013,760000,14A(1),14I
4,LAKE MACQUARIE,2844342,NORMAL,4,MACQUARIE RD,MORISSET PARK,2264,691/1030399,R2,766.5,M,1/7/2017,294000,14A(1),6A(1),1/7/2016,260000,14A(1),6A(1),1/7/2015,238000,14A(1),6A(1),1/7/2014,202000,14A(1),6A(1),1/7/2013,190000,14A(1),6A(1)
4,LAKE MACQUARIE,2844343,NORMAL,4A,MACQUARIE RD,MORISSET PARK,,692/1030399,R2,1257,M,1/7/2017,299000,14A(1),6A(1),1/7/2016,265000,14A(1),6A(1),1/7/2015,243000,14A(1),6A(1),1/7/2014,206000,14A(1),6A(1),1/7/2013,194000,14A(1),6A(1)
4,LAKE MACQUARIE,2823025,NORMAL,13,COAL POINT RD,COAL POINT,2283,1071/1026564,R2,731,M,1/7/2017,244000,14A(1),6A(1),1/7/2016,212000,14A(1),6A(1),1/7/2015,212000,14A(1),6A(1),1/7/2014,193000,14A(1),6A(1),1/7/2013,184000,14A(1),6A(1)
4,LAKE MACQUARIE,2823026,NORMAL,13A,COAL POINT RD,COAL POINT,2283,1072/1026564,R2,1943,M,1/7/2017,453000,14A(1),6A(1),1/7/2016,425000,14A(1),6A(1),1/7/2015,425000,14A(1),6A(1),1/7/2014,452000,14A(1),6A(1),1/7/2013,415000,14A(1),6A(1)
