CGNDB ID,Geographical Name,Generic Term,Province - Territory,Latitude,Longitude,Nearest NSRDB latitude,Nearest NSRDB longitude,Array Type,Market Pricing,Utility-scale Tariff Applied,Annual Generation (MWh) - First Year,Winter Generation (MWh) - First Year,Spring Generation (MWh) - First Year,Summer Generation (MWh) - First Year,Fall Generation (MWh) - First Year,Installation Cost Scenario,Breakeven Price ($/MWh),Reference Price ($/MWh),Breakeven Price (¢/kWh),Reference Price (¢/kWh),Total Capacity (MW)
IAOOB,Vilna,Village,Alberta,54.11,-111.92,54.13,-111.94,Utility Fixed,Time of use,No Tariff,63811.39,7147.68,18884.44,20003.27,17775.99,Current,$64.37 ,$25.98 ,6.43,2.59,50
IAOOB,Vilna,Village,Alberta,,-111.92,54.13,-111.94,Utility Fixed,Flat,No Tariff,63811.39,7147.68,18884.44,20003.27,17775.99,Current,$88.67 ,$25.98 ,8.86,2.59,50
IAOOB,Vilna,Village,Alberta,54.11,,54.13,-111.94,Community,Time of use,,255.24,28.59,75.53,80.01,71.1,Current,$77.66 ,$84.13 ,7.76,8.41,0.2
IAOOB,Vilna,Village,Alberta,54.11,-111.92,54.13,-111.94,Community,Flat,,255.24,28.59,75.53,80.01,71.1,Current,$106.99 ,$84.13 ,10.69,8.41,0.2
IAOOB,Vilna,Village,Alberta,54.11,-111.92,,-111.94,Utility Tracker,Time of use,No Tariff,79163.83,8191.73,23650.59,25755.45,21566.05,Current,$56.74 ,$25.98 ,5.67,2.59,50
IAOOB,Vilna,Village,Alberta,54.11,-111.92,54.13,,Utility Fixed,Time of use,Tariff,63811.39,7147.68,18884.44,20003.27,17775.99,Current,$70.97 ,$25.98 ,7.09,2.59,50
IAOOB,Vilna,Village,Alberta,54.11,-111.92,54.13,-111.94,Utility Tracker,Flat,Tariff,79163.83,8191.73,23650.59,25755.45,21566.05,Current,$83.75 ,$25.98 ,8.37,2.59,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Residential,Flat,,6.85,0.97,1.91,2.14,1.82,Current,$144.75 ,$67.95 ,14.47,6.79,5.00E-03
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Tracker,Flat,Tariff,83943.88,12413.18,22922.16,25559.2,23049.33,Current,$129.58 ,$32.70 ,12.95,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Fixed,Flat,No Tariff,,10561.08,19063.53,20960.25,19176.34,Current,$86.34 ,$32.70 ,8.63,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,,Utility Fixed,Time of use,Tariff,69761.22,10561.08,19063.53,20960.25,19176.34,Current,$121.52 ,$32.70 ,12.15,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Residential,Time of use,,6.85,,1.91,2.14,1.82,Current,$119.06 ,$67.95 ,11.9,6.79,5.00E-03
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Tracker,Time of use,No Tariff,83943.88,12413.18,22922.16,25559.2,23049.33,Current,$62.23 ,$32.70 ,6.22,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Tracker,Time of use,Tariff,83943.88,12413.18,,25559.2,23049.33,Current,$104.98 ,$32.70 ,10.49,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Tracker,Flat,No Tariff,83943.88,12413.18,22922.16,25559.2,23049.33,Current,$76.82 ,$32.70 ,7.68,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Fixed,Flat,Tariff,69761.22,10561.08,19063.53,20960.25,,Current,$149.89 ,$32.70 ,14.98,3.27,50
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Community,Flat,,279.04,42.24,76.25,83.84,76.7,Current,$98.45 ,$85.79 ,9.84,8.57,0.2
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Community,Time of use,,279.04,42.24,76.25,83.84,76.7,Current,$79.82 ,$85.79 ,,8.57,0.2
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Commercial,Time of use,,279.04,42.24,76.25,83.84,76.7,Current,$91.38 ,$85.79 ,9.13,8.57,0.2
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Commercial,Flat,,279.04,42.24,76.25,83.84,76.7,Current,$112.70 ,$85.79 ,11.27,8.57,0.2
EILQC,Vimont,Administrative Sector,Quebec,45.6,-73.71,45.61,-73.7,Utility Fixed,Time of use,No Tariff,69761.22,10561.08,19063.53,20960.25,19176.34,Current,$70.00 ,$32.70 ,7,,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Residential,Time of use,,5.84,0.56,1.71,2.09,1.46,Current,$117.22 ,$97.06 ,11.72,9.7,5.00E-03
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Commercial,Time of use,,241.8,27.67,68.51,80.82,64.78,Current,$85.37 ,$84.13 ,8.53,8.41,0.2
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Commercial,Flat,,241.8,27.67,68.51,80.82,64.78,Current,$118.87 ,$84.13 ,11.88,8.41,0.2
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Tracker,Time of use,No Tariff,75094.28,7830.7,21633.15,25983.88,19646.53,Current,$59.06 ,$25.98 ,5.9,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Tracker,Flat,No Tariff,75094.28,7830.7,21633.15,25983.88,19646.53,Current,$80.27 ,$25.98 ,8.02,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Fixed,Flat,Tariff,60450.88,6919.73,17128.76,20205.74,16196.63,Current,$102.89 ,$25.98 ,10.28,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Fixed,Time of use,Tariff,60450.88,6919.73,17128.76,20205.74,16196.63,Current,$73.92 ,$25.98 ,7.39,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Residential,Flat,,5.84,0.56,1.71,2.09,1.46,Current,$155.13 ,$97.06 ,15.51,9.7,5.00E-03
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Fixed,Time of use,No Tariff,60450.88,6919.73,17128.76,20205.74,16196.63,Current,$67.03 ,$25.98 ,6.7,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Fixed,Flat,No Tariff,60450.88,6919.73,17128.76,20205.74,16196.63,Current,$93.30 ,$25.98 ,9.33,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Community,Time of use,,241.8,27.67,68.51,80.82,64.78,Current,$81.08 ,$84.13 ,8.1,8.41,0.2
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Community,Flat,,241.8,27.67,68.51,80.82,64.78,Current,$112.89 ,$84.13 ,11.28,8.41,0.2
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Tracker,Time of use,Tariff,75094.28,7830.7,21633.15,25983.88,19646.53,Current,$64.72 ,$25.98 ,6.47,2.59,50
IAOOC,Vimy,Hamlet,Alberta,54.06,-113.65,54.05,-113.66,Utility Tracker,Flat,Tariff,75094.28,7830.7,21633.15,25983.88,19646.53,Current,$87.97 ,$25.98 ,8.79,2.59,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Community,Time of use,,267.29,43.35,77.31,78.96,67.66,Current,$86.99 ,$146.51 ,8.69,14.65,0.2
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Residential,Flat,,6.52,0.96,1.93,2.03,1.58,Current,$153.04 ,$125.93 ,15.3,12.59,5.00E-03
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Tracker,Time of use,Tariff,81898.85,12782.96,24075.44,25029.24,20011.2,Current,$66.84 ,$18.64 ,6.68,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Community,Flat,,267.29,43.35,77.31,78.96,67.66,Current,$106.40 ,$146.51 ,10.64,14.65,0.2
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Fixed,Time of use,Tariff,66823.12,10838.82,19328.13,19740.4,16915.76,Current,$76.88 ,$18.64 ,7.68,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Fixed,Flat,No Tariff,66823.12,10838.82,19328.13,19740.4,16915.76,Current,$92.53 ,$18.64 ,9.25,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Residential,Time of use,,6.52,0.96,1.93,2.03,1.58,Current,$126.48 ,$125.93 ,12.64,12.59,5.00E-03
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Commercial,Flat,,267.29,43.35,77.31,78.96,67.66,Current,$119.43 ,$146.51 ,11.94,14.65,0.2
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Commercial,Time of use,,267.29,43.35,77.31,78.96,67.66,Current,$97.64 ,$146.51 ,9.76,14.65,0.2
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Tracker,Flat,No Tariff,81898.85,12782.96,24075.44,25029.24,20011.2,Current,$80.67 ,$18.64 ,8.06,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Fixed,Flat,Tariff,66823.12,10838.82,19328.13,19740.4,16915.76,Current,$94.05 ,$18.64 ,9.4,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Tracker,Flat,Tariff,81898.85,12782.96,24075.44,25029.24,20011.2,Current,$81.91 ,$18.64 ,8.19,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Tracker,Time of use,No Tariff,81898.85,12782.96,24075.44,25029.24,20011.2,Current,$65.83 ,$18.64 ,6.58,1.86,50
FDAAN,Vimy Ridge,Dispersed Rural Community,Ontario,48.49,-80.38,48.49,-80.38,Utility Fixed,Time of use,No Tariff,66823.12,10838.82,19328.13,19740.4,16915.76,Current,$75.65 ,$18.64 ,7.56,1.86,50
EKJYV,Vimy-Ridge,Village,Quebec,46,-71.41,46.01,-71.42,Residential,Flat,,6.6,1.05,1.75,2.09,1.7,Current,$150.20 ,$67.95 ,15.02,6.79,5.00E-03
